names,reviewtitles,ratings,reviews
Aryadipto,"Can't say I'm an audiophile, but the bass on this is impeccable.",5,"One of most well fitting headphones I've ever purchased, still, your ears might hurt after long hours of usage.I have taken good care of this, and haven't used it extensively, so after 1 year(or so) of usage, it's with me without a scratch. So far, I have only watched movies, but man, the sound in this is good.Played some games, eg. Albion online and Honkai Impact 3 wearing these and it was a really fun experience.10/10 for a casual gamer like me. I can't say for hardcore gamers."
Vishal Vir Singh,it is fabolous,4,"it is phenomenal but does not have a point port to connect, it has a normal mouse type connectivity to keyboard."
Kumar,OKAY FOR ONLINE CLASS NOT FOR MUSIC,4,I bought this for two reason. 1. ONLINE CLASS. 2. LISTENING SONGPerfectly all right for online class.I though this will give more bass unfortunately simply serio device. It's having more settings but no special result. So I can't suggest this for music lovers.
Pankaj Mahajan,Looks good but isn't very durable.,4,"The headphone is well built - I haven't exposed it to unexpected torture tests - that end the life of other wired headphones (sharp accidental tugs, which break the internal soft wires on other headphones). I hope the corded wires will withstand substantially more force. The noise cancellation is passive but good - does not block loud noises but the little things are blocked out. Microphone has been reported to be good - by people on the other side of the call. The mic boom is flexible - but not sure how long it will remain adjustable. I kinda expect it to lose it's ability to hold position after prolonged use - but that remains to be seen. So far quite happy. One thing I was slightly not happy about is that the ring that form the top of the headphone... the ""springs"" are actually quite thin and what you see is actually flexible plastic tubes that are covering the spring. Technically there is likely nothing wrong with this but it is just something that appears to be one thing but is something else. To be fair, if they were solid springs, the headset would be quite heavy - so I am also glad it isn't solid metal.I have yet to experience ear discomfort as other reviewers have complained - but the head band can rub your scalp if you put it on and take it off too often. Maybe because of the shape of my head (Large), the weight is on the scalp and not on the ears. So this could be different from person to person.Update after using the headset for a yearThe cushions are no longer firm, the faux leather covers are torn from minimal contact. The electronics and sound are still good. Cable is good, but the user interface is tattered up. Will try to fix it with cloth cover. Wish they used more durable material or provided way for user to replace the ear cushions"
Habeeb Al-deen,Simply Amazing..,5,Just go for it!!!
Bharath,I don't hate it. But not necessarily love it too..,4,"Long wire is great, but overly gaming aesthetic is a little cumbersome. It's HUGE to put on anybody's head. This is coming from a big head like me. Word of advice.. Never install boat software if you already have Nvidia hd audio drivers installed. My ears almost exploded with it's ""7.1 surround"" sound. Dialogues were hardly audible and gunshots were punching into my brain while that piece of crap was installed. Had to manually remove drivers from device manager to get it play nice with my games. All the discomforts were present as well. Heavy to the point where you have to get used to it? YES. Completely encase ears and make your ears sweaty? YES. Don't want to eat microphone for breakfast lunch and dinner? TOO BAD.. this gooseneck tube is the least rigid microphone fixture I have used so far not just for mic, but for anything. My bathroom bidet tube is more rigid than this one. The strength i think actually comes from the outer rubber tubing on the tube. It almost feels like they knew its not strong, so they just put a rubber tube over the gooseneck tube to compensate. All in all I got this for cheap so I can't complain too much."
Abner,DETAILED REVIEW AFTER A YEAR!!!!,4,"THERE'S ALWAYS ROOM FOR IMPROVEMENTS!!!IT WORKS! It Still works the Same as the day I bought it. Except for that one acute buzzing sound on the left side if you go above 90% Volume! But i think Most people will stay on 70% because that's sufficient for Gaming and Other Uses.PROS• GREAT DESIGN and BUILD QUALITY. Feels Soft on your ears and the Area around it and the Headband thing is a Very Good Feature. (Dropped it a few times, no Scratches) Also doesn't feel Heavy after prolonged Usage (Even for 5+ hours)• Okayish Software, with multiple fun controls to have for a Headphone at this price point.• Good Thumping Bass, while keeping it Clear enough to not get clipped. it actually Vibrates your Ears. (Pun Intended)• Good Mic Quality, almost silent until you start speaking. Pretty GOOD for Discord, Meetings etc. (Play around with the Mic settings in the Software, to get what you want based on your Surroundings)CONS• NO DETACHABLE MIC. Sucks that the Mic is always there, while i mostly use it to Listen to Songs.• WIRE TOO LONG. could've been a bit smaller.VERDICTSo a year back, this felt like a pretty good Purchase and Bang for the Buck. Got it for around 1700!Still sounds the same, earcups are as new it is. For a person who uses the Headphones almost 8+ hours a Day, im pretty surprised that the Earcups are still Good."
Rajarshi Bhattacharya,Should have added a mic switch,4,No mic on/off switch  🤐
KAZURI,Good,5,Best
Siparna Paul,THE BASS AND MORE ONE,4,"The sound quality is very good. But the bass is too much light and everybody can listen from beside what you're listening. Overall product quality and sound quality both are great, you can go with this item. But you have to compromise for the bass. BoAt should work on it."
